origin,destination,search_date,departure_date,days_ahead,price
GIG,VCP,2024-10-13,2025-01-02,81,572.81
CWB,VCP,2024-10-29,2025-01-27,90,867.81
SDU,POA,2024-12-31,2025-02-10,41,363.31
SSA,NAT,2024-12-24,2025-01-17,24,460.71
VCP,CGB,2025-03-26,2025-03-27,1,708.43
GRU,NAT,2024-09-23,2024-11-19,57,474.49
SSA,BSB,2024-09-16,2024-11-03,48,889.42
SSA,FOR,2025-03-01,2025-05-02,62,410.05
FOR,GRU,2025-05-25,2025-08-04,71,635.56
GRU,CGB,2025-03-16,2025-04-23,38,238.62
FLN,POA,2025-08-17,2025-11-03,78,964.19
CGB,REC,2025-06-20,2025-07-12,22,337.25
FLN,NAT,2025-08-09,2025-08-10,1,487.39
CGB,BSB,2025-08-16,2025-09-01,16,646.42
POA,CGB,2025-04-08,2025-06-17,70,723.06
FLN,GIG,2024-10-02,2024-10-11,9,306.53
REC,BSB,2025-05-08,2025-06-13,36,753.28
GIG,BSB,2025-04-11,2025-06-01,51,201.31
CWB,BSB,2024-09-30,2024-12-14,75,912.53
REC,BSB,2024-11-16,2024-12-05,19,322.46
CGH,FOR,2025-06-10,2025-06-18,8,632.51
FLN,GRU,2025-07-19,2025-08-31,43,446.31
BEL,REC,2024-11-07,2024-11-22,15,476.83
CGH,GIG,2025-04-15,2025-05-29,44,800.72
FOR,GIG,2025-06-12,2025-08-03,52,841.92
FOR,CWB,2025-01-25,2025-03-27,61,297.87
CGB,SDU,2025-03-06,2025-04-22,47,901.44
BSB,SSA,2025-02-11,2025-04-17,65,368.17
REC,GRU,2025-01-05,2025-02-25,51,945.65
VCP,GIG,2025-05-07,2025-05-30,23,317.69
BSB,NAT,2024-09-16,2024-12-14,89,755.25
POA,CGB,2025-08-31,2025-10-30,60,685.17
SDU,CWB,2025-08-10,2025-09-19,40,618.03
BSB,POA,2025-05-11,2025-07-17,67,453.55
CGH,SDU,2024-11-16,2024-12-08,22,201.24
GRU,CWB,2025-08-05,2025-10-11,67,612.66
SDU,REC,2025-05-07,2025-07-21,75,720.03
SDU,FLN,2025-07-15,2025-10-02,79,608.28
BSB,GIG,2024-10-01,2024-11-25,55,472.52
VCP,GRU,2025-06-29,2025-08-20,52,334.89
FOR,SDU,2025-05-09,2025-06-22,44,308.04
FLN,SSA,2025-06-09,2025-07-04,25,260.27
CGH,POA,2025-02-16,2025-04-20,63,1107.63
CWB,CGB,2025-02-13,2025-05-02,78,701.8
BEL,SSA,2024-10-25,2025-01-15,82,1010.61
POA,VCP,2025-04-24,2025-06-05,42,609.84
GRU,SDU,2025-05-20,2025-06-11,22,565.08
BEL,CGH,2025-05-17,2025-05-30,13,722.41
GIG,REC,2024-12-18,2025-02-04,48,707.05
FOR,SDU,2024-11-09,2025-01-22,74,306.6
SSA,BSB,2025-06-18,2025-09-01,75,1039.71
REC,BSB,2025-05-08,2025-05-11,3,404.46
REC,FLN,2024-11-02,2025-01-03,62,543.18
CWB,CGB,2025-03-19,2025-06-01,74,257.9
SDU,NAT,2025-01-13,2025-01-15,2,588.88
VCP,REC,2025-06-04,2025-06-07,3,445.88
FOR,CGB,2024-10-12,2024-10-17,5,603.23
CGH,VCP,2025-03-10,2025-03-19,9,629.71
CGB,GIG,2025-03-29,2025-05-04,36,179.24
SSA,CGH,2025-07-05,2025-08-14,40,424.26
BSB,CWB,2025-02-14,2025-03-09,23,451.6
VCP,BSB,2025-06-24,2025-08-18,55,777.35
SDU,CWB,2025-04-15,2025-04-25,10,691.49
GRU,BSB,2025-04-13,2025-06-29,77,846.29
FLN,BEL,2025-03-04,2025-05-20,77,491.68
GIG,VCP,2024-12-20,2025-02-21,63,352.93
BEL,CGH,2025-04-27,2025-07-13,77,1067.34
FLN,GRU,2025-07-11,2025-10-03,84,565.26
BEL,BSB,2024-11-04,2025-01-08,65,456.13
FLN,CWB,2025-02-17,2025-04-13,55,309.51
NAT,CGB,2024-09-27,2024-11-25,59,1046.95
BSB,SSA,2025-02-21,2025-05-08,76,867.63
NAT,CGH,2025-03-29,2025-05-01,33,219.6
SSA,NAT,2025-04-19,2025-06-29,71,825.6
GIG,CWB,2025-09-02,2025-11-04,63,503.22
BSB,SDU,2024-11-06,2024-12-02,26,513.11
BEL,GIG,2024-11-16,2025-01-18,63,449.77
SSA,VCP,2024-12-01,2025-01-16,46,1132.21
BEL,CGH,2024-09-14,2024-11-22,69,613.39
GRU,VCP,2025-02-09,2025-04-23,73,272.59
BEL,NAT,2024-10-08,2024-12-14,67,535.64
VCP,FLN,2025-03-02,2025-04-16,45,310.37
CWB,SSA,2025-03-31,2025-04-08,8,189.63
BSB,SDU,2025-05-24,2025-07-28,65,354.6
BSB,GRU,2024-10-19,2025-01-12,85,668.73
BEL,BSB,2024-12-20,2024-12-27,7,663.52
GRU,BEL,2025-08-01,2025-09-26,56,540.21
REC,BSB,2025-06-27,2025-09-16,81,238.88
SSA,REC,2024-12-17,2024-12-18,1,1028.17
CGH,CWB,2025-02-05,2025-02-28,23,981.28
NAT,POA,2025-08-19,2025-09-11,23,594.75
VCP,REC,2025-05-19,2025-06-26,38,364.75
BEL,REC,2024-11-15,2025-02-13,90,187.11
CWB,CGH,2025-08-27,2025-10-25,59,246.3
GRU,BSB,2024-11-07,2024-12-29,52,793.98
GIG,FOR,2025-07-08,2025-09-04,58,599.5
CWB,GRU,2025-08-18,2025-09-27,40,1195.85
FOR,BEL,2025-05-13,2025-06-11,29,1147.78
VCP,POA,2025-07-22,2025-08-03,12,489.56
VCP,GRU,2024-10-23,2024-10-31,8,706.55
BSB,FLN,2025-04-03,2025-04-23,20,263.91
BSB,GRU,2025-04-03,2025-05-02,29,1147.5
BEL,FLN,2025-02-12,2025-03-18,34,304.61
POA,VCP,2025-06-10,2025-06-30,20,265.62
BEL,VCP,2025-08-06,2025-08-11,5,408.31
FOR,GRU,2025-06-10,2025-06-20,10,430.34
CGH,GRU,2024-12-16,2025-02-19,65,204.42
VCP,SDU,2024-10-28,2024-11-18,21,890.19
GRU,POA,2025-03-11,2025-04-15,35,624.38
SSA,FOR,2025-08-09,2025-09-14,36,611.73
SSA,FLN,2025-08-13,2025-10-24,72,213.09
NAT,SDU,2025-02-12,2025-02-27,15,479.08
CGB,REC,2025-04-12,2025-06-01,50,211.65
GIG,CGH,2025-01-24,2025-03-29,64,223.44
VCP,FLN,2024-12-18,2025-03-04,76,570.09
CGH,FOR,2025-07-10,2025-07-15,5,1116.55
GIG,BEL,2024-10-30,2025-01-14,76,208.75
CGH,FLN,2025-02-02,2025-04-04,61,586.72
BSB,NAT,2025-03-23,2025-04-21,29,724.1
GRU,BSB,2024-10-04,2024-11-03,30,983.89
CGH,BEL,2025-08-23,2025-10-31,69,510.5
BSB,FOR,2025-03-11,2025-06-06,87,1065.05
SSA,BEL,2024-11-27,2025-02-21,86,233.0
CWB,BSB,2024-12-05,2024-12-26,21,705.48
GRU,VCP,2024-12-09,2025-02-24,77,848.83
FOR,POA,2025-07-30,2025-08-18,19,661.76
CGB,REC,2025-06-27,2025-07-20,23,1073.74
BEL,GIG,2025-01-01,2025-02-22,52,416.84
REC,FOR,2025-01-27,2025-04-20,83,180.96
CWB,FOR,2025-04-04,2025-05-04,30,917.26
CGH,CGB,2025-08-15,2025-09-29,45,435.97
GRU,GIG,2024-10-29,2024-11-15,17,196.08
REC,POA,2025-01-14,2025-03-11,56,309.09
POA,FOR,2025-04-30,2025-05-20,20,246.3
VCP,SSA,2024-11-26,2025-02-12,78,315.72
CWB,NAT,2025-06-09,2025-08-03,55,616.34
BSB,BEL,2025-07-09,2025-07-25,16,1072.3
BSB,FOR,2025-08-21,2025-10-03,43,785.54
REC,FLN,2025-05-02,2025-07-27,86,647.68
CGB,SSA,2025-01-11,2025-01-17,6,914.93
FLN,VCP,2025-04-25,2025-04-26,1,736.67
VCP,FLN,2025-08-27,2025-10-06,40,200.75
VCP,FLN,2025-03-06,2025-05-25,80,1104.26
BEL,CGB,2024-11-05,2025-01-27,83,733.8
BSB,GIG,2025-05-27,2025-06-29,33,477.79
REC,CGB,2025-03-28,2025-06-20,84,517.68
GRU,REC,2025-03-30,2025-04-23,24,802.04
GRU,NAT,2025-08-21,2025-10-07,47,742.18
BSB,CGH,2025-01-20,2025-04-06,76,928.77
REC,BSB,2024-09-16,2024-11-11,56,832.82
CGB,VCP,2024-11-18,2024-12-07,19,466.63
NAT,REC,2025-07-25,2025-10-06,73,759.73
BEL,GIG,2025-04-02,2025-04-10,8,1024.87
BSB,CGH,2025-06-08,2025-06-11,3,960.14
REC,BEL,2024-12-07,2024-12-25,18,714.67
CGB,NAT,2025-04-14,2025-06-15,62,743.35
POA,GIG,2025-04-07,2025-04-17,10,342.89
BEL,SSA,2024-09-19,2024-10-26,37,750.09
CWB,SDU,2024-09-14,2024-12-09,86,639.43
CWB,CGH,2025-08-25,2025-09-28,34,480.57
FLN,VCP,2024-10-11,2024-10-25,14,851.06
NAT,SDU,2025-06-17,2025-09-06,81,536.45
CGH,VCP,2024-10-30,2024-11-14,15,621.41
BSB,BEL,2025-02-09,2025-04-25,75,449.86
GIG,FLN,2024-09-24,2024-11-02,39,467.73
VCP,SDU,2025-03-03,2025-04-02,30,845.61
GRU,FOR,2024-09-20,2024-10-05,15,452.01
VCP,NAT,2025-07-31,2025-09-03,34,223.19
POA,BSB,2024-12-27,2025-03-01,64,847.59
GIG,GRU,2025-07-09,2025-07-28,19,833.74
FLN,FOR,2025-08-15,2025-10-15,61,556.97
SSA,FLN,2025-02-23,2025-05-05,71,685.34
POA,FLN,2024-11-18,2024-12-31,43,408.68
GIG,CWB,2025-02-28,2025-04-11,42,731.56
GIG,FOR,2024-11-14,2024-11-29,15,344.72
SSA,CGB,2024-12-20,2025-02-15,57,546.58
REC,BEL,2025-06-29,2025-09-10,73,976.02
FLN,CWB,2025-03-30,2025-05-09,40,590.9
BEL,CGH,2025-06-15,2025-08-01,47,955.64
NAT,VCP,2024-10-24,2024-12-23,60,890.49
NAT,FOR,2025-06-16,2025-07-28,42,788.66
GIG,BSB,2024-10-05,2024-10-15,10,747.84
VCP,GIG,2024-12-31,2025-02-24,55,827.44
CWB,VCP,2025-06-19,2025-08-18,60,241.57
CWB,CGH,2025-02-15,2025-05-05,79,744.96
REC,BSB,2025-08-31,2025-11-23,84,654.8
BSB,GIG,2025-01-23,2025-03-10,46,1022.37
FOR,GIG,2024-09-16,2024-11-07,52,661.42
VCP,CWB,2024-11-30,2024-12-27,27,517.12
CGH,BEL,2024-12-01,2025-01-31,61,797.57
REC,POA,2025-06-25,2025-08-29,65,666.2
REC,CGH,2025-06-01,2025-06-10,9,593.54
VCP,NAT,2025-01-15,2025-02-26,42,467.5
GRU,CGH,2025-02-11,2025-03-31,48,587.94
BSB,CGB,2025-05-30,2025-06-26,27,770.93
FOR,BSB,2025-01-30,2025-02-13,14,968.69
GRU,BSB,2025-01-05,2025-03-30,84,272.78
BEL,BSB,2025-02-17,2025-04-01,43,664.24
FOR,CGH,2024-11-13,2025-01-18,66,558.96
CGB,FOR,2025-03-11,2025-05-27,77,554.34
POA,NAT,2024-12-02,2025-02-04,64,273.48
REC,VCP,2025-03-12,2025-06-08,88,429.26
NAT,GIG,2025-06-20,2025-09-07,79,284.25
POA,BSB,2025-01-24,2025-02-12,19,536.53
CGH,CWB,2025-03-03,2025-03-17,14,691.92
SDU,CGH,2025-07-28,2025-08-17,20,501.5
BEL,FLN,2025-03-02,2025-05-23,82,512.23
NAT,CGH,2025-07-28,2025-10-21,85,227.45
POA,CGH,2024-11-05,2024-11-07,2,1214.63
SDU,CGH,2025-08-01,2025-08-14,13,857.01
FLN,CWB,2025-01-02,2025-01-24,22,757.84
SSA,CGH,2025-05-13,2025-08-11,90,767.95
CGH,SSA,2025-02-16,2025-04-10,53,255.26
GRU,SDU,2024-12-08,2025-01-09,32,390.96
VCP,BSB,2025-01-25,2025-04-05,70,254.35
REC,BEL,2025-06-04,2025-06-28,24,305.34
REC,NAT,2025-06-02,2025-06-13,11,751.83
GIG,FLN,2025-06-04,2025-07-05,31,200.25
POA,FLN,2025-08-29,2025-09-21,23,387.64
SSA,BSB,2025-03-05,2025-04-30,56,560.85
GIG,BSB,2025-08-20,2025-10-07,48,309.37
GRU,VCP,2025-08-12,2025-08-30,18,471.94
BSB,CGH,2025-02-21,2025-05-09,77,609.07
VCP,BEL,2025-01-05,2025-02-24,50,232.04
SDU,BEL,2025-07-09,2025-09-16,69,234.52
REC,FLN,2025-05-17,2025-06-06,20,443.45
BSB,REC,2025-08-16,2025-10-31,76,712.2
CGH,GRU,2024-09-18,2024-12-07,80,784.74
GRU,FLN,2025-08-30,2025-09-24,25,194.99
BEL,FOR,2025-06-17,2025-07-30,43,412.27
VCP,BSB,2025-01-03,2025-03-03,59,941.29
REC,CGB,2024-11-29,2025-01-06,38,702.24
FOR,POA,2025-07-05,2025-09-19,76,766.61
GIG,GRU,2025-03-24,2025-05-08,45,783.92
GRU,BSB,2025-01-26,2025-03-24,57,502.44
POA,CGB,2025-08-21,2025-09-10,20,370.66
FOR,FLN,2025-03-21,2025-04-16,26,885.73
SSA,CWB,2024-11-13,2024-12-02,19,876.82
FLN,CGH,2025-04-06,2025-05-16,40,859.14
GIG,REC,2024-12-09,2025-02-21,74,234.24
NAT,FLN,2025-03-24,2025-04-14,21,325.39
FOR,CWB,2025-01-25,2025-02-14,20,396.81
BSB,POA,2024-09-07,2024-11-22,76,674.67
SSA,BSB,2025-08-07,2025-10-04,58,194.24
BEL,NAT,2024-11-26,2025-02-23,89,460.24
FLN,CGH,2025-03-20,2025-04-03,14,492.88
SDU,POA,2025-08-04,2025-09-19,46,527.17
CGB,FLN,2024-12-28,2025-03-19,81,371.76
BSB,SSA,2025-07-10,2025-10-02,84,345.47
FLN,BSB,2025-04-29,2025-05-07,8,666.27
BSB,VCP,2025-07-25,2025-09-30,67,626.31
POA,CWB,2025-03-21,2025-03-29,8,643.72
CGH,FLN,2025-01-31,2025-02-16,16,769.99
VCP,BEL,2024-10-27,2024-11-09,13,732.16
GRU,CWB,2025-04-17,2025-05-27,40,377.97
CGB,BEL,2024-12-15,2025-01-19,35,513.87
CGB,REC,2024-10-27,2025-01-16,81,819.23
POA,GRU,2024-09-11,2024-10-16,35,832.43
CGB,NAT,2025-07-27,2025-10-04,69,284.99
CGB,NAT,2025-01-07,2025-02-16,40,776.45
FLN,CGB,2025-02-26,2025-04-27,60,438.49
NAT,REC,2024-11-15,2025-02-05,82,672.34
GRU,BSB,2025-08-15,2025-09-21,37,223.87
FOR,FLN,2024-11-11,2024-11-25,14,697.01
SDU,CGH,2024-12-19,2024-12-21,2,399.94
REC,SDU,2024-09-22,2024-11-29,68,733.66
CWB,GIG,2025-08-29,2025-11-27,90,421.34
BSB,CGB,2025-03-30,2025-06-06,68,477.92
FOR,VCP,2025-05-17,2025-06-17,31,633.17
BSB,FLN,2025-02-19,2025-03-17,26,855.17
CGB,CWB,2025-01-28,2025-04-20,82,715.51
GIG,SSA,2024-12-16,2025-03-06,80,829.54
BSB,POA,2024-12-31,2025-01-27,27,411.71
CGH,BSB,2024-12-30,2025-01-13,14,782.5
GIG,POA,2025-05-11,2025-07-15,65,518.28
FLN,CGH,2024-12-07,2025-02-09,64,479.02
BEL,SSA,2025-07-12,2025-08-30,49,582.06
NAT,SDU,2025-03-19,2025-05-13,55,483.83
GIG,NAT,2024-10-27,2024-12-24,58,751.69
FLN,VCP,2025-01-06,2025-04-02,86,245.19
VCP,CWB,2025-04-29,2025-06-30,62,750.71
BSB,VCP,2025-05-18,2025-06-15,28,464.83
FOR,SDU,2024-09-24,2024-11-13,50,355.21
GIG,BEL,2025-02-10,2025-03-29,47,841.55
GIG,POA,2025-03-18,2025-06-10,84,549.75
SSA,BEL,2024-11-22,2025-01-08,47,786.08
GIG,GRU,2024-11-04,2024-11-16,12,900.18
FLN,SSA,2025-08-03,2025-08-18,15,550.12
FOR,VCP,2025-04-30,2025-07-14,75,1002.68
SSA,VCP,2025-02-13,2025-02-22,9,526.36
POA,NAT,2025-05-26,2025-06-13,18,339.67
BEL,GIG,2024-11-17,2024-12-25,38,478.55
REC,CWB,2025-04-03,2025-06-24,82,558.13
REC,BSB,2025-02-06,2025-04-28,81,1074.61
POA,FLN,2024-12-21,2025-02-15,56,799.14
CWB,GRU,2025-04-12,2025-05-31,49,232.19
GIG,BEL,2025-07-15,2025-09-11,58,628.84
VCP,BEL,2025-07-10,2025-09-05,57,739.61
REC,GIG,2025-08-19,2025-09-22,34,1043.77
GRU,CGH,2024-12-17,2025-01-15,29,883.28
SDU,FOR,2024-09-30,2024-11-05,36,878.88
VCP,SSA,2025-06-25,2025-07-22,27,1000.29
FOR,GIG,2025-08-25,2025-11-05,72,839.13
BEL,CWB,2025-08-03,2025-09-25,53,615.19
CWB,POA,2025-01-29,2025-02-17,19,612.55
BEL,CGH,2025-04-19,2025-07-05,77,1106.26
GRU,CWB,2025-06-22,2025-08-05,44,541.44
FLN,CWB,2025-06-11,2025-07-30,49,532.1
SDU,BSB,2024-09-21,2024-10-24,33,724.16
CGH,BEL,2024-11-03,2024-12-21,48,480.63
CGH,REC,2024-11-14,2025-01-20,67,583.38
SDU,CWB,2024-09-20,2024-11-05,46,1058.87
SSA,SDU,2024-12-04,2025-03-03,89,976.72
NAT,FLN,2025-05-15,2025-05-30,15,521.68
BSB,SDU,2025-04-08,2025-04-28,20,572.53
GIG,SDU,2025-01-08,2025-03-02,53,817.74
BEL,REC,2024-10-01,2024-10-24,23,577.81
CWB,VCP,2025-07-08,2025-09-19,73,213.7
BSB,GIG,2025-06-12,2025-07-28,46,924.77
CWB,GRU,2024-11-12,2024-12-06,24,820.11
FLN,CWB,2024-10-31,2024-12-06,36,607.47
FOR,GRU,2025-04-22,2025-07-06,75,537.13
CGH,GIG,2025-02-17,2025-04-21,63,504.97
BEL,SSA,2025-08-07,2025-10-19,73,293.33
FLN,SSA,2025-04-15,2025-05-23,38,414.22
NAT,CWB,2025-06-03,2025-06-17,14,701.65
VCP,NAT,2025-08-16,2025-10-25,70,964.51
FLN,CWB,2025-05-18,2025-08-11,85,410.03
CWB,SDU,2025-08-13,2025-10-27,75,390.04
REC,NAT,2025-07-16,2025-07-23,7,780.24
CGH,FOR,2025-03-15,2025-05-07,53,1019.12
CGB,CGH,2024-09-12,2024-11-05,54,220.64
VCP,SDU,2025-08-06,2025-09-25,50,241.96
CWB,GIG,2024-09-09,2024-10-12,33,527.28
FOR,SSA,2025-07-22,2025-08-13,22,900.47
SSA,REC,2025-07-08,2025-07-13,5,306.28
GRU,FLN,2024-10-18,2024-11-05,18,840.16
REC,SDU,2025-08-05,2025-08-26,21,890.49
NAT,FOR,2025-04-24,2025-05-05,11,412.05
BEL,SSA,2024-12-22,2025-02-05,45,834.69
SSA,GIG,2024-12-20,2025-02-13,55,244.82
CGB,CGH,2025-03-28,2025-05-14,47,575.8
REC,BSB,2025-05-07,2025-07-17,71,594.12
CGB,SDU,2024-11-04,2024-11-30,26,307.82
POA,GRU,2025-02-22,2025-04-01,38,776.67
BSB,POA,2024-09-23,2024-10-27,34,237.96
BEL,CWB,2024-11-17,2024-12-27,40,493.65
FLN,GRU,2025-03-01,2025-05-24,84,803.4
SSA,BEL,2025-02-19,2025-03-17,26,323.51
CWB,FOR,2024-09-20,2024-10-27,37,235.23
REC,POA,2025-05-14,2025-08-07,85,763.46
SDU,FOR,2025-07-30,2025-10-13,75,1130.06
VCP,POA,2025-03-21,2025-06-06,77,746.22
BEL,GIG,2025-03-17,2025-05-20,64,334.3
SSA,FLN,2025-08-01,2025-08-29,28,661.07
SSA,NAT,2025-07-28,2025-09-05,39,360.08
NAT,POA,2025-07-31,2025-08-15,15,498.79
GIG,FOR,2025-05-09,2025-07-17,69,338.51
CWB,BEL,2025-06-05,2025-08-27,83,774.94
CWB,BSB,2024-12-02,2024-12-12,10,213.29
SSA,FLN,2024-09-14,2024-10-10,26,864.36
FLN,SSA,2025-02-02,2025-02-23,21,414.63
FLN,VCP,2024-10-29,2025-01-05,68,1010.58
CWB,VCP,2025-03-14,2025-05-04,51,866.84
CWB,CGH,2025-05-19,2025-08-10,83,421.8
FLN,BEL,2024-10-02,2024-11-23,52,1085.91
GIG,POA,2025-09-05,2025-10-20,45,773.9
BSB,VCP,2025-07-09,2025-09-16,69,844.7
SDU,BSB,2025-01-25,2025-03-09,43,771.27
POA,GIG,2025-06-06,2025-07-10,34,286.14
FOR,SSA,2024-11-09,2024-12-05,26,310.96
VCP,NAT,2024-10-08,2024-12-08,61,485.34
SDU,FLN,2024-12-31,2025-03-03,62,628.77
GIG,CWB,2024-09-29,2024-11-04,36,526.53
CWB,POA,2025-06-02,2025-06-03,1,963.93
SDU,REC,2024-11-11,2025-01-04,54,684.29
NAT,CGB,2025-02-17,2025-03-13,24,279.4
POA,FLN,2025-02-01,2025-02-18,17,819.56
BSB,SDU,2025-03-18,2025-06-16,90,344.91
CGH,CWB,2025-01-16,2025-01-19,3,723.74
BSB,CGH,2025-04-30,2025-06-11,42,298.6
SSA,FOR,2025-01-05,2025-01-10,5,720.03
